"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"18,8";"20,0";"18,8";"78,0";"78,0";"71,0";"14,8";"14,8";"14,5";"1015,9";"1015,9";"1015,5";"2,7";"101,0";"5,3";"";"0,0"
"01/01/2024";"0100";"18,2";"19,0";"18,1";"80,0";"80,0";"77,0";"14,7";"14,8";"14,6";"1016,5";"1016,5";"1015,9";"2,1";"105,0";"4,1";"";"0,0"
"01/01/2024";"0200";"17,8";"18,4";"17,8";"82,0";"82,0";"79,0";"14,7";"14,8";"14,6";"1016,4";"1016,6";"1016,4";"2,1";"109,0";"3,2";"";"0,0"
"01/01/2024";"0300";"18,5";"18,5";"17,7";"81,0";"83,0";"81,0";"15,1";"15,1";"14,7";"1015,8";"1016,4";"1015,7";"2,1";"114,0";"4,0";"";"0,0"
"01/01/2024";"0400";"18,6";"18,8";"18,2";"82,0";"83,0";"80,0";"15,5";"15,6";"15,1";"1015,4";"1015,8";"1015,4";"2,0";"120,0";"4,3";"";"0,0"
"01/01/2024";"0500";"18,6";"18,9";"18,6";"82,0";"83,0";"81,0";"15,6";"15,7";"15,5";"1014,8";"1015,5";"1014,8";"2,4";"117,0";"3,6";"";"0,0"
"01/01/2024";"0600";"18,6";"18,7";"18,3";"83,0";"84,0";"82,0";"15,7";"15,8";"15,5";"1014,0";"1014,8";"1014,0";"2,9";"113,0";"4,9";"";"0,0"
"01/01/2024";"0700";"18,5";"18,9";"18,3";"85,0";"85,0";"83,0";"15,9";"16,0";"15,7";"1013,8";"1014,0";"1013,7";"1,9";"100,0";"4,8";"";"0,0"
"01/01/2024";"0800";"16,8";"18,5";"16,8";"91,0";"92,0";"85,0";"15,3";"16,1";"15,3";"1014,1";"1014,1";"1013,8";"0,3";"39,0";"3,3";"";"0,0"
"01/01/2024";"0900";"17,5";"17,5";"16,6";"94,0";"95,0";"91,0";"16,6";"16,6";"15,4";"1014,2";"1014,3";"1014,0";"0,9";"52,0";"2,6";"40,10";"0,0"
"01/01/2024";"1000";"19,9";"19,9";"17,5";"83,0";"94,0";"83,0";"16,9";"17,2";"16,3";"1014,3";"1014,3";"1014,2";"1,1";"41,0";"2,9";"434,60";"0,0"
"01/01/2024";"1100";"23,0";"23,0";"19,9";"74,0";"84,0";"73,0";"18,2";"18,6";"16,9";"1014,3";"1014,3";"1014,1";"2,1";"56,0";"4,2";"1348,60";"0,0"
"01/01/2024";"1200";"24,6";"25,0";"22,8";"66,0";"74,0";"64,0";"17,9";"19,0";"17,3";"1014,7";"1014,8";"1014,3";"1,6";"91,0";"4,8";"2148,20";"0,0"
"01/01/2024";"1300";"26,7";"26,7";"24,6";"60,0";"69,0";"60,0";"18,4";"19,4";"17,5";"1013,8";"1014,7";"1013,8";"1,3";"89,0";"4,6";"2840,70";"0,0"
"01/01/2024";"1400";"27,0";"27,7";"25,7";"62,0";"65,0";"56,0";"19,1";"20,0";"17,2";"1013,5";"1013,8";"1013,4";"1,0";"146,0";"4,8";"3373,20";"0,0"
"01/01/2024";"1500";"28,3";"28,6";"26,2";"59,0";"65,0";"55,0";"19,6";"20,1";"18,0";"1012,8";"1013,6";"1012,8";"1,9";"95,0";"4,8";"3323,80";"0,0"
"01/01/2024";"1600";"29,0";"29,3";"28,1";"60,0";"62,0";"54,0";"20,3";"20,8";"18,3";"1011,9";"1012,8";"1011,8";"3,8";"138,0";"7,6";"4158,40";"0,0"
"01/01/2024";"1700";"28,8";"29,5";"28,4";"60,0";"61,0";"54,0";"20,2";"21,0";"18,6";"1011,2";"1011,9";"1011,2";"3,8";"109,0";"7,6";"3638,30";"0,0"
"01/01/2024";"1800";"28,5";"29,4";"28,1";"63,0";"64,0";"58,0";"20,7";"21,4";"19,6";"1010,7";"1011,2";"1010,7";"4,9";"104,0";"8,2";"2866,30";"0,0"
"01/01/2024";"1900";"28,2";"28,9";"27,9";"62,0";"65,0";"60,0";"20,2";"21,4";"20,1";"1010,6";"1010,8";"1010,4";"5,2";"123,0";"9,5";"2807,20";"0,0"
"01/01/2024";"2000";"27,2";"28,2";"27,0";"64,0";"65,0";"61,0";"19,9";"20,6";"19,4";"1010,9";"1010,9";"1010,5";"4,7";"118,0";"9,5";"1934,40";"0,0"
"01/01/2024";"2100";"26,3";"27,2";"25,7";"70,0";"72,0";"64,0";"20,4";"20,8";"19,5";"1010,4";"1010,9";"1010,2";"4,0";"99,0";"8,4";"1011,90";"0,0"
"01/01/2024";"2200";"24,4";"26,3";"24,4";"76,0";"77,0";"70,0";"20,0";"20,7";"20,0";"1010,4";"1010,4";"1010,1";"5,6";"92,0";"9,1";"323,80";"0,0"
"01/01/2024";"2300";"23,4";"24,4";"23,4";"80,0";"80,0";"76,0";"19,8";"20,0";"19,8";"1011,1";"1011,2";"1010,4";"4,1";"87,0";"9,1";"30,80";"0,0"
"02/01/2024";"0000";"23,1";"23,5";"22,9";"83,0";"84,0";"80,0";"20,0";"20,1";"19,8";"1011,3";"1011,4";"1011,0";"4,1";"93,0";"8,9";"";"0,0"
"02/01/2024";"0100";"22,8";"23,2";"22,7";"84,0";"85,0";"83,0";"20,0";"20,2";"20,0";"1011,6";"1011,8";"1011,3";"4,0";"86,0";"8,1";"";"0,0"
"02/01/2024";"0200";"22,8";"22,9";"22,5";"85,0";"86,0";"84,0";"20,3";"20,3";"19,9";"1011,8";"1012,0";"1011,6";"4,0";"88,0";"8,2";"";"0,0"
"02/01/2024";"0300";"23,0";"23,1";"22,8";"85,0";"86,0";"85,0";"20,4";"20,4";"20,2";"1011,2";"1011,9";"1011,2";"3,5";"68,0";"8,2";"";"0,0"
"02/01/2024";"0400";"23,0";"23,2";"23,0";"85,0";"86,0";"85,0";"20,5";"20,5";"20,4";"1010,6";"1011,2";"1010,6";"1,8";"59,0";"7,6";"";"0,0"
"02/01/2024";"0500";"22,8";"23,1";"22,8";"86,0";"87,0";"85,0";"20,4";"20,6";"20,4";"1010,3";"1010,6";"1010,2";"2,0";"79,0";"5,6";"";"0,0"
"02/01/2024";"0600";"22,5";"22,9";"22,4";"88,0";"89,0";"86,0";"20,4";"20,5";"20,4";"1009,2";"1010,4";"1009,2";"1,4";"45,0";"4,4";"";"0,0"
"02/01/2024";"0700";"22,0";"22,6";"21,8";"89,0";"91,0";"87,0";"20,2";"20,5";"20,1";"1008,6";"1009,2";"1008,5";"0,9";"39,0";"5,2";"";"0,0"
"02/01/2024";"0800";"21,2";"22,2";"20,9";"93,0";"94,0";"89,0";"20,1";"20,4";"19,7";"1009,6";"1009,7";"1008,6";"0,6";"218,0";"3,3";"";"0,0"
"02/01/2024";"0900";"21,5";"21,5";"20,8";"94,0";"95,0";"93,0";"20,4";"20,4";"19,7";"1009,6";"1009,7";"1009,6";"1,1";"54,0";"1,9";"60,80";"0,0"
"02/01/2024";"1000";"23,6";"23,7";"21,5";"84,0";"94,0";"84,0";"20,7";"21,0";"20,4";"1010,1";"1010,1";"1009,6";"0,7";"352,0";"1,9";"512,50";"0,0"
"02/01/2024";"1100";"25,8";"26,1";"23,6";"75,0";"85,0";"73,0";"21,1";"21,7";"20,6";"1010,2";"1010,3";"1010,0";"0,8";"214,0";"3,0";"1319,70";"0,0"
"02/01/2024";"1200";"26,6";"27,0";"25,7";"77,0";"77,0";"70,0";"22,3";"22,3";"20,5";"1009,9";"1010,2";"1009,8";"3,0";"225,0";"4,5";"2133,00";"0,0"
"02/01/2024";"1300";"27,3";"27,6";"26,1";"67,0";"78,0";"67,0";"20,8";"22,3";"20,5";"1010,8";"1010,8";"1009,9";"1,3";"228,0";"4,9";"2596,80";"0,0"
"02/01/2024";"1400";"26,6";"27,3";"26,0";"72,0";"78,0";"68,0";"21,2";"22,6";"20,8";"1010,8";"1011,0";"1010,8";"2,6";"194,0";"4,2";"1377,60";"0,0"
"02/01/2024";"1500";"27,5";"27,6";"26,5";"71,0";"79,0";"70,0";"21,9";"22,9";"20,8";"1010,6";"1010,9";"1010,6";"4,5";"137,0";"7,3";"2401,80";"0,0"
"02/01/2024";"1600";"25,9";"28,1";"25,9";"76,0";"77,0";"68,0";"21,3";"22,6";"21,2";"1010,1";"1010,6";"1010,1";"5,7";"109,0";"9,1";"2755,50";"0,0"
"02/01/2024";"1700";"22,4";"25,9";"22,4";"84,0";"84,0";"75,0";"19,5";"21,7";"19,4";"1010,2";"1010,2";"1009,2";"6,5";"78,0";"12,4";"389,70";"0,0"
"02/01/2024";"1800";"20,5";"22,4";"20,4";"93,0";"94,0";"84,0";"19,3";"19,6";"19,3";"1011,4";"1011,5";"1010,1";"4,1";"63,0";"11,1";"103,30";"5,4"
"02/01/2024";"1900";"21,3";"21,4";"20,5";"91,0";"94,0";"91,0";"19,8";"20,1";"19,3";"1009,9";"1011,4";"1009,9";"3,8";"51,0";"8,7";"523,60";"2,6"
